Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Message Type,Navigation Message (Hex),Modified
-4000,1,1,388796.000,2163,4,05265E3F 24E57BFD 74078C61 3D404952 4B1109AD 6AFE3E96 503FF687 C05885E0 980A0C3C 096CF70F F8C34B68 A305F1C2 84C56A93 A89BC9FC D5C54DDF C4201598 F5B2BC85 1E469294 844D18D0 FE9CDEDA EE183D65 CADBFCD3 6E614AE9 4D4A1812 8692FBC0 F44A5E30 3F03F677 59401812 A6C580D8 1C490405 5D24FCC5 CC090BDD 36E1149D 8550DD4C 8937A294 080DCD79 0AD0D99A 905C0D22 B6040CA2 DE305E1B 4DED02ED 64A2A02C 9FF94502 A00C38A0 68104077 0031F7EB F8460D36 0C04F48A 6F18F203 F6C42120 089EE096 410E1D26 EC3168D0 0886FDDB 0C4C43BC D83686EC 2E000000,No
-4000,2,2,388796.000,2163,4,0A4CB63F 24E57BFD 740FC047 BF10ED10 2F2703E0 6C2C6E32 C21B7187 AC4A86C0 3C9968AE 026DF3D4 A8730845 9116B9D4 84B07E82 CCAAC9F0 43854DCB C449B198 F422AE80 0A5DBE12 C70DBE91 9E8CC697 6B091D57 53CB5E81 2A5512AD 6BD91C12 C7BBCD8B F14E9D35 AF91D7D4 4B6D0ACA D2E713F4 29482515 46507A17 ED9B08B0 0469341B 573DFF05 A507AB90 BE57ACCC 0B984B1A F05AC547 95042C02 05306E93 04EF02E5 7260902E 86DCD202 E0982980 6C090867 003071E9 E8461573 8B04F53E 7D58D200 9B432260 084580A2 0163BF2E CC05B0A0 3A04FDE8 042863ED 88A6C5E8 B9000000,No
-4000,3,3,388796.000,2163,4,0F6AEE3F 24E57BFD 740DE541 64206BC1 0B3101EC 6CA54E90 0153E285 897E04D0 38986C2F 0B2CC1CD A8F70B01 260CB4C0 9FD1CE02 812D83F4 F7577C6B 5F40B5C0 F4B4FDA0 3856B391 D72DA8D8 EF1AD5FB EE517DE7 888B6CC1 4E5208C9 694B4C12 C4BAFD99 F07E4674 8F009B43 51602C91 D6578299 1D016813 D440FA45 890D40F5 00A3240B D5317B0C A4237BB0 9CD4E06B 0BB459C3 907E0626 82066406 C5304803 244B02CC 5071F00E 0F94E100 803C6390 4A1A2146 00304738 C8661736 8904F41E 3C58D200 9F642860 1E9DA0A2 412EAA2F AC0569E0 8CC7DD58 05685336 98B0C5EC 2C000000,No
-4000,4,4,388796.000,2163,4,11BF3E3F 24E57BFD 74078943 2600EB00 0E840984 5EA70E34 4333D18D E4681CE0 1CD8253A 0328E116 F877DB41 270CFCC6 16A5EEC1 A1AE81B5 D7850C4F 4E411090 B50267B1 BA5EF723 CD0CB8D0 CBBCCCF7 D9495D71 8BDA6AC2 2E4409C9 4D0B7C20 C5FE7CC3 D46ED400 BD03F244 48602A8A C65741B9 3D0A6037 95005A15 E13A40B8 203960BF C511FD4F A511E394 9E05ED4D 08FC5F89 F05A8626 97056432 D5204892 206E02C4 C2F89028 0CD4D000 A01A3380 6A104CE7 0031452B E8460D76 2904F51C 6F187213 9B442920 0E8DA086 C3231D2E E42378F0 0805904C 0E6475F4 9816C680 8D000000,No
-4000,5,5,388796.000,2163,4,1499663F 24E57BFD 7406C141 6D60C9D1 020409E8 58B45EB6 003EE68F A06A47C0 985840B8 0B4CD3DC F8410B49 160FD4C0 8FA15812 E19CC1D0 D15C79F9 562D2798 95B076E4 BC4FB3B2 8E4D9CD2 AE88C4D2 EC411DE1 909AC8C2 2B424389 594138A2 84D3EBC9 F45C9525 8FC09ED3 03643851 A6E742BC 1D426021 D7344A07 E08A00B4 3663340B 545C7C0E A435FAA0 1E07ADF9 09B17949 A07C972B A0064C32 5D004A82 24FC0084 44E3802A 85B1C502 A028F190 4C0128D3 003173F0 98460637 3906F538 3478F201 FF652860 1ECEB006 430E0B2F AC073BE0 38C6D9F8 052453FD A8208480 3E000000,No
-4000,6,6,388796.000,2163,4,1BF38E3F 24E57BFD 740E8571 BD60CD11 4AA0438D 58771A36 C03AC48E E8780EA0 28CA043D 0224D79F D843490C 244CB8E2 46E06AC9 A8BBD3F5 C78C38FB 0C04B690 B0123691 0A169B10 9F213881 EEAE06DE FB5170F5 CADB6A02 427210E1 79812932 06BB6CC9 F06E4421 1D02BFC7 136C3811 D2F781F0 BE036427 CE444A05 819B00F1 34B1202B 977CFA4E A82720E4 BEC485CB 0AB9498B B07AC56F 03052D24 CF306E18 6C7B008C 70A0A00C 06B96102 E1AA30B0 DC0304F4 001043AB B8E00F73 880D9518 AF78F003 F3552000 0E07B024 00228C25 8437F0B0 B805DDDF 0D006777 983007E9 A8000000,No
-4000,7,7,388796.000,2163,4,1ED5D63F 24E57BFD 74058DF1 E640EB43 229542A9 5CE51A22 8B7B4084 ACFCCEA0 1810012A 00416714 BCE50209 B505D064 C5C06C90 8D3EC8DD 61973849 86418692 9102A7B1 3C1CBF11 8F48AC83 CB9895F6 CC487D67 51EFE881 27644989 7B5A3810 C6F3DE82 F95CDC75 3D50BE61 10410840 82451098 AD414121 DD706814 E5AD42D8 2669108D 1734F907 8427EBA4 A8C4CD4C 02997901 C0FA946A 30040486 C5104801 016B018C 6270C02C 94915200 C11AB9B0 FA1009E0 001177A0 B844173B 3B05D43E BD38C403 DFD42041 2C0D80A6 100B992C C90521D0 9C149DFF 0D4965AE 988486C1 8A000000,No
-4000,8,8,388796.000,2163,4,237E763F 24E57BFD 740C8845 A62069D0 4B8248AC 6C351A14 03336387 E95EC780 08594C3D 0308E75D CC455808 860FD9D6 4CE0C818 AD398294 F10E2CFD DC6D00CA 9404EEA1 084C9AA6 C744BA53 EE2C4DDE EC1810C3 82DB7A43 0A6450C1 5F985C02 44DFF98A D56C5445 9F51FAC7 11450ED9 F6C5D1F9 1F404137 5D104856 CD1E08DD 26382429 96307A46 CD11FBE4 8855E06F 01FC6F40 906A8447 13066416 D7207A99 01DE02E4 C03B800E 97B0D000 C01871B0 5A016CF4 0A3047E0 B8561E57 9C0EF528 BE185612 F3522820 0AD5B010 4323182E A01528E0 0E07BCC9 0C08433D E992C6E1 2E000000,No
-4000,9,9,388796.000,2163,4,26582E3F 24E57BFD 740DE543 67706F13 6EB24985 6C364AB6 937BE784 C04C0DD0 28C125AD 0021635D A8C35104 0107B952 8494EA53 E40BD3F5 775F2CEF 9D04349A F0B0FDD1 0A0CB201 D4610C59 DE1E1D9F DE511041 91FAFE10 63E649C0 69CB68B2 05FF5D99 F16A0565 8F10D745 5949181B C255D3F0 3E004503 0E44E854 843842D5 26F26499 C7104A04 8C3162C4 A8C4CDFC 03D0490A D07CC76A 16060514 5E405E12 496D018C E6EAD008 8FFC5002 809C2B90 FC190D66 02116363 88601D37 2B07943E ED685002 BB772800 2E46D090 01039A2E C0372280 3847D4CE 0C444577 D8B007E9 A8000000,No
-4000,10,10,388796.000,2163,4,2932C63F 24E57BFD 740481D1 E7006F80 6B814AA0 7EB75A06 D97274C4 E4CC4DE4 380268AE 4A696797 9C67C305 3346FC56 1DC45E80 C09A8BFD 439678FF 0D25129A F12035D1 3A0FDB92 8628A893 FA1A8E93 DB597C65 519F7C93 425649E9 6B990C02 87FB6882 F4684D05 BFC1BB72 104C2C80 E6D5C1D4 9B084C21 444058C6 C90F42D8 26A0142D C4506B44 80053BB0 3817CDDD 03D079C0 E0481603 A0040C34 97307C83 49EB03A4 C4A8F02E 9EF96702 E09C3B90 7C1204E5 08116162 B8E40772 080DD53C 6E18E411 B6732240 0A1DB086 42270B25 CC2761B0 ACC6D148 0E454136 988044C5 1C000000,No
-4000,11,11,388796.000,2163,4,2C149E3F 24E57BFD 7404A553 3F40E9D8 66014AA8 6C7F5E10 993360C4 856AD794 0C4305BF 402543D6 9C57930D B144F440 05C56E83 811CC1B5 77057CFB 554910DB F5B06DB1 1A55DE03 9C64AECA FFB854DA DE4815C3 53DBFE51 637100E4 5F936822 479F6880 D4784465 3D809BE1 13681C42 B2D30294 8A096833 D7547E04 800D4AB4 0273308B D57CEA04 E92728F4 8A44E4D8 08BC4F49 D078454E 82076D34 5D507A01 6569018C E672902E 07F8D200 811CF9C0 780A0570 023847B2 98568456 8C0CFC08 EF18C690 9F632868 385CA022 826A0A2D E8252380 8EC4D8FE 056C63F6 B81606ED 9D000000,No
-4000,12,12,388796.000,2163,4,32C14E3F 24E57BFD 740F85D5 7C604FC0 0E974AA9 CA2C6E10 891B43C4 A9E88CE4 2808411B 4024D545 9CD30B01 1244B0D0 15E5EA0B ED28C2B8 E3CF1DFB DC6D80C3 B5B236D0 BA5FF6A2 8D253C11 8E1C5EFE 585135D1 838E6A43 0B754884 7B9A18B2 46FB5E98 F56E8C11 3F91DEE1 09691E10 C66310F8 1B4B6D27 05447E55 E59848B5 04EB60BB 5639D90F E805A394 3A45CC4F 00B4498A B04E954B A6062512 8F404A13 6D7D01E5 662AD008 8C9DE100 818871B0 78136876 0239F562 8876953B AC06FDAC AC58C681 FF712A68 2C8CD082 82679C25 EC17A1C0 8EC5B069 042841A6 C83254C5 0D000000,No
-4000,13,13,388796.000,2163,4,37E7163F 24E57BFD 7404C851 B760CB02 0E334ACC 4C6D3A90 D27EF18D C95E57F0 0802483A 096977CF A8C79104 B24CB564 56B0FE52 8C9A8AB4 47CC68FB CC248399 B4063C84 8A4E9701 966538DA EA0854F3 CE0171C1 9AAE6A53 024559E4 799B3980 0497F8CA F04C1D70 8D41BA56 42443CDA C645C1B4 AC4B4031 1D4468C5 81BD41D0 12B25489 85305C07 C53562B4 0A9CA5F9 01D5DB93 C0681D2E 36050586 06507E81 086D03A4 F662B02C 9DD54200 E008B0B0 5C0341C5 0030517A F8D60F56 8D0EF50E 7D08C602 D3712A20 3CCFB010 0203BB2D E013E3E0 9A47F4F8 072865B6 89A0C6A8 BA000000,No
-4000,14,14,388796.000,2163,4,388DFE3F 24E57BFD 7407CC73 EE00E9D0 0BA341A0 C8251E00 4177E1C4 ACC88CA4 1C812CB9 434C53DF ECC18109 24469960 CEA57C10 CD3BCADD 55170C49 452590D0 95807695 1847FB16 CF65AC88 CABC5FD3 DF111573 00FB6C42 4BF41A84 4D8278B0 47F6DAC9 D57A8F34 2D50BEF3 49691E1B 82C350F5 9E416505 1460CE16 C51A03FC 2261149B 16584C04 A023E0B0 0E97E4D9 01F5598B D05AC54B B2050D32 06507A93 69CB03E5 F038E00E 0D98E000 C19EE0F0 7E112D67 0231F3F3 98420C7B 8F0FB4A8 27185601 93642920 1C17C082 016A9B2F E411B0B0 AEC5F55B 042567F6 F90684CD AB000000,No
-4000,16,16,388796.000,2163,4,43DABE3F 24E57BFD 740FA567 AC50CF52 6B0043A9 7AEF3AB4 C11F4686 CD6C4CF0 8C5101A8 0A09730D B845D060 0304DD54 9FA44852 CD2C98D1 C38D5C7D 050593D0 D10435C1 3C17DF35 8600BE12 BAB81EBF FA593071 10FEE801 475148C0 7B490C12 04FE7ECB D17A4C74 3F13BF47 436D2AC1 A6D793B9 BC436537 46247A55 C91D08F5 003274BB 87707906 A027E1C0 8E5EA84D 03F5C990 B06E8E47 A5052CB2 15107A0A 20DA02E4 E478B02C 969C7000 C1A87AF0 5A116450 001157FB F8C00552 3D0F952C AF78D002 DA452B00 2CCF80A4 402E3E26 8005BA90 0804F1FC 074043E5 881407AD 9A000000,No
-4000,19,19,388796.000,2163,4,4CB0563F 24E57BFD 7404AC61 F500E911 22134189 4C362E02 525B55C6 A95A8694 BC932DBB 4B6C5785 DCC7132D B344FC42 CEF5DAC9 E1ADC8FC C1DF6C4F 474C81D0 F4B02CD4 9E55FF05 D4253CC2 8FBA4CFE 78407567 439EFE41 227053C5 5F8B5D92 44D6CCC2 F44E5F00 0D42F2E1 43480A5B F6C103F0 89004025 9510CC86 A89B01D4 10291489 C5156A06 C121F8D0 9814C1FF 029D6D0A C05AD762 20060C04 94007E89 445F01ED E239802E 16B15502 A0AABAB0 5C136443 00314373 88421E3B 8B05B51C A418D602 F2752B20 0E449082 022AA92F A4133880 9AC6DDF9 06646727 98A684ED 8D000000,No
-4000,20,20,388796.000,2163,4,5265863F 24E57BFD 74048D45 AC00E912 0B304B80 7EF51E00 131EC686 A84A1FC0 1C432D1D 09487147 A8C10228 A00E9DF6 D7C1DC59 EC0E8098 775C38CD 5548259A 94046CE0 3C5C9F86 97041C01 8B3C5FDF 6F0834D5 50AFEC52 0B6412C4 5DC35C32 46F75DD8 F45E1574 0F03F6F2 124C1C11 82D101D1 BE494427 84106C85 C1880AD0 34E33499 C5314F4D C91172A4 0897C4CA 0AD05DC8 80C81643 350745A6 1F70789B 004E018D 40EBB028 94F06600 E03E2290 5A1B2946 02305132 98621F73 3E07B5BC 2E58F613 BF432B20 080CD0A2 4002AC25 A013E1D0 3A86D56B 0C607725 B802C4AC 1F000000,No
-4000,21,21,388796.000,2163,4,5743DE3F 24E57BFD 740D8D43 B7006981 62A34BA5 4AF66EA6 8113E486 A16854D0 BC92609B 016947D4 B863434C 3704F464 8FB15ACB AC9A88BC E1D678CF DF442599 F5B66681 AE469F16 8F253ED9 FB984FFF 4E081467 CA9B7C41 6FE60BC4 590A0D82 44BE48D3 D45E1F01 AD4193D1 52681898 A6D343F5 1D4B6407 CF207EC4 C9BC49F0 34A2009B 0674FE06 A8013AF4 0EC4E0CB 02F47D9A 90EA8403 02074C26 9D406888 2CDF02C5 F423E00E 0FD9F602 C18AEAD0 780064F2 0031413A A8421C72 0907B41E 7F68F211 96602B60 1896A026 40628C2D E017EAB0 2E8698DB 0520517E A93287C4 0D000000,No
-4000,22,22,388796.000,2163,4,5829363F 24E57BFD 740EA847 A630E951 42A443AD 48F54E04 D21E7386 C87E86F0 1802280A 0B2D5146 F8E7136D 2306B0C6 86F1DE82 A48B8ABC 671568CB 5405B693 F5B2B781 0A4DFA00 8F659899 DB1A57B7 EB4014C7 99AF6E40 62405BC5 4FCB08B0 45D649D2 F44A5D51 0D419A50 0A480843 C651019C 1A034001 55546CC4 843E0ADC 34F27499 4739F84E 8427B190 1844854E 08DC4D93 E04C1442 250744A6 15604801 617D02AC 70A2A02A 94B87202 808C3BC0 5C0B0C55 0231F53B D842055A 2F05B5BC 7748D202 F3F22160 284DB086 412AB92F E035B280 2E84F94B 05604764 B9128484 9B000000,No
-4000,23,23,388796.000,2163,4,5D0F6E3F 24E57BFD 740D8847 74006BD2 4AA641A1 5A373E94 905E658D E55C1CE0 0C51091A 0129718C 98738168 1707BDE4 C7B14E5A AD8D81F4 4344497B 1D0CA28B B10034E1 2E1F9F81 86619CD0 EFBC15B6 CA0171C3 0B8A6E12 666109A0 4FC92D30 06B77E93 F57EDC35 9D10D253 424528C0 B2F192F9 18004D25 04646C94 808843D1 06B10429 9531FE4D 84113384 28C5A57C 0A945D11 A04C176A 06070DB6 CF007C89 695901AC 723AE00C 8DFD7202 803A7BE0 5E1A40E0 0210D1F2 C864055A 8B05D5AC 2E385412 92502A00 1E94B030 4306A92E 8017E9A0 1C87FDFA 070867AF C8A0058D 2A000000,No
-4000,24,24,388796.000,2163,4,60A4CE3F 24E57BFD 740CAC73 35004B43 2B8043A9 58EE2E34 427354C7 E0685594 084200AD 43006345 8CD5D261 174FD952 17D54801 8C8FC394 C7D45D7D 9D45B6C9 91907585 2C1C9B21 C4411C43 FF3814F7 6A183043 C1FADE03 27F658C1 6B435880 06FA78C8 D55A5E34 8F119FC7 09493843 D6F11198 984A4131 5F604C55 88AF00D1 16E93029 4710DC05 8535BA94 88D6CDF9 089069D8 F0F8060E B6050526 14405A90 2C5F01CC D271A02C 0FFCF100 81AE7980 7A0B01F6 00117128 C864167E 3D07D50C 67487400 93D52800 0A47D090 402AAE26 C013F290 3C86985C 0D4051F7 A820C688 BB000000,No
-4000,25,25,388796.000,2163,4,6582963F 24E57BFD 7405CC61 2F104B52 2B0749E8 6EB62EB6 531E728D E07C87D0 2C432D2E 092843CE D877D309 210CB876 04C17AD1 8DBB81FD 411E395F 050C2682 F102A7A1 3E1CFEB4 87608892 EB3E0ED7 7E1871C5 53CB5813 0FF148E0 69026912 05FFDA98 F06E1745 1D41BAD3 4B4C2E18 E64141B1 BE404421 8544FC04 8DBF4390 2260502D 0475C807 C813F8D4 AC96A4D9 0ADD5958 F0EE0726 A1066C10 0E006C82 08FC01CD 54F98008 94FD6100 C00871D0 580A2063 0011D570 F8641E5E 1C05D4AA 66085401 B3C12800 2846B010 416F9C2E C003B1D0 9886F5FD 0D00657D B890C5EC 2E000000,No
-4000,26,26,388796.000,2163,4,6AE87E3F 24E57BFD 740DE545 E7004F80 6A844B8C 5EA66EB0 C21A6287 E14A97A0 2C5849BE 0B4CF145 D8D55824 270E9CE6 C5E17CDA A83881DD 630609F9 8F45B28B D13426E1 280DD686 8640BEC0 EFA807D3 48497145 40DA5C10 277518A0 7D594D92 04F6DB80 F17A5644 AF52F247 506D2C92 D2C312B0 19096111 8C00DE57 A91A00F9 36E2500B 547DFE07 A10171E0 AA0FAC5B 0AB1DB13 807A8F6E 130724A4 C7305E0B 0DDB008C 4220F02E 8CB8F200 C03AE390 7C182DE1 0210D728 98440553 0D05D41A 7D48F402 DE532000 2E86A0B0 01079A24 C401B3A0 9CC69C7B 070457B6 D890848D 8F000000,No
