Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
-1000,1,1,388799.000,2163,24,15,58147B34 8BCCFC17 EDC49C24 19492EA5 16974676 A4485682 5B8C2696 A05FB096 0F401070 89FFFF66 EBFF0A97 5003D9F1 00006476 FFBD751B FD09B510 0BE2C000,No
-1000,2,2,388799.000,2163,24,15,58165A36 7BC71D21 FDCB1898 B9D73EE5 D7C7CE95 AB0C452A 55A56226 80FAB2D6 0D40102E 99FFFFB6 ABFF0EF7 1003D072 0000886E FFBEF5EB FD087750 0BCEC000,No
-1000,3,3,388799.000,2163,24,15,581697E0 04CE7943 65EB900E 89FB7A35 96B3596D A1BFB9BA 1D80DC27 79A70656 09401021 89FFFE56 ABFF0A86 9003C3F6 0000296A FFBD6DBB FD0F2790 0BE08000,No
-1000,4,4,388799.000,2163,24,15,5814616A 82CCC073 9DF98C0C 49CBA9F9 15B35825 A7B39B96 74903B16 0FE51B16 0B401028 95FFFFCE 9BFF0D37 1003D973 00009072 FFBE656B FD0B3550 0BCAC000,No
-1000,5,5,388799.000,2163,24,15,5815CB21 E5CCCC6C 4DF900C6 19D73BBF D55859FB A0959E62 43898426 C7217FD6 0CC01034 9FFFFF96 FBFF0C97 D003D5FA 0000C456 FFBF556B FD0E3690 0BCAC000,No
-1000,7,7,388799.000,2163,24,15,5816D522 38C0B15E 15D894BD 89B3C82C 14935049 A095B59E 431890F6 6FA63496 08C01030 97FFFF3E DBFF0816 D003C5B4 00008F76 FFBF354B FD0C2510 0BC50000,No
-1000,8,8,388799.000,2163,24,15,5817BA69 03CF0023 5DF1EF50 79AE8612 D7AAE0B3 A49F916E 24684797 91C56E96 0CC01057 99FFFFB2 83FF0CD7 B003D373 0000E666 FFBED5DB FD021750 0BF8C000,No
-1000,9,9,388799.000,2163,24,15,58177D2B 26CA783D 3DD3E3AC E96E15A3 D69AEDA6 ABB39EAE 10C874E7 9D25F056 0E401000 81FFFEAA FBFF0E07 1003CD77 0000F16E FFBF591B FD00B490 0BF3C000,No
-1000,11,11,388799.000,2163,24,15,5816AF77 07CA8C4E F5E44C40 F99DE959 9681C468 A126AE16 330089E7 F802EDD6 08801015 9FFFFF96 FFFF0A46 1003C0F0 C000A16F FFBF8D5B FD0E24B0 0BCA8000,No
-1000,12,12,388799.000,2163,24,15,5817FE77 8BC90D54 A9D94839 0971F911 D68144B2 AB22BCD2 1F285C17 90A07396 0F40101D 86FFFE22 DFFF0C96 9003CABB 4000C15A FFBF09F7 FD04B440 0BE44000,No
-1000,13,13,388799.000,2163,24,15,581506BA AAC89C46 D5FC4B4C 69E534E0 97C450C9 A9AE216E 52D93BB6 008CE096 08C01078 89FFFFA2 83FF08A7 B003D8FF 0000594E FFBD693B FD0DF7D0 0BF6C000,No
-1000,15,15,388799.000,2163,24,15,5815BFAD D4CC7E31 A1E5634B 3981F058 9406CC68 A3680EC6 53D99166 B08B7A56 0CC0104B 9FFFFEF6 DBFF0B46 1003C5B7 00004C62 FFBDA18B FD022610 0BC58000,No
-1000,19,19,388799.000,2163,24,15,5815393E 68CAA21D 51DEC98C 7957F90C 160CDF5E A5F3BCFE 46E96AA6 A4249D56 0DC01059 9DFFFFA2 83FF0DD6 F003D03C 0000CD56 FFBE3D0B FD01A710 0BFB8000,No
-1000,21,21,388799.000,2163,24,15,5815A9FE ABC1B23E F99E8142 28DD3DD4 94317615 BC7AD30E 0D574A36 0ED9D216 0EC0100D 97FFFE86 DBFF0F06 1003D9F1 00001D76 FFBC15FB FD0C0650 0BF10000,No
-1000,24,24,388799.000,2163,24,15,5816D5FD 62CD836F 9DD08596 69264DAD 57505B60 ABFC58EE 02FF7EC7 9AF349D6 0DC01033 98FFFE2E DFFF0C47 D003D67E 4000674E FFBD9D37 FD09C600 0BF70000,No
-1000,25,25,388799.000,2163,24,15,5814CCFE 31DC2628 5DA0115A 39AD1D90 1508F862 B9DCEA1E FC470D25 789BEBD6 0BC01076 9DFFFE1A C3FF0846 B003C0B3 00006866 FFBD011B FD0125D0 0BCB0000,No
-1000,26,26,388799.000,2163,24,15,5815542B 39C07C75 0D9B5103 38E35D26 95385754 BABCF7EE 0CB3E5C6 5A2DDD56 0C00102A 87FFFE32 C7FF0B87 7003D9F3 C000AD7B FFBFF53B FD0645F0 0BE98000,No
-1000,27,27,388799.000,2163,24,15,5814EFF9 5CD6AC21 85D2096D C8F5BCC4 96BBF6AF AA7AC586 A7CF52B5 2279BD96 0CC0105E 9FFFFE86 9BFF0EF7 1003C275 0000B67E FFBF819B FD0D87D0 0BDD8000,No
-1000,30,30,388799.000,2163,24,15,58164478 C2C6A055 B5FC3114 49269F29 5768C824 A6542FDA 42C76956 3AD40C16 0D40106E 9AFFFF9A AFFF0A07 9003D2B4 40005E72 FFBD9D87 FD0FF700 0BF7C000,No
